Rank,Player,Playing Since,Points as of,Points as of,Points / Day,Last Week,Puzzles Solved,Switches,Puzzles Solved 10 or less solvers,Puzzles Solved 3 or less solvers,Puzzles Created,Puzzles Created But Not Solved,Puzzles Created 10 or less solvers,Puzzles Created 3 or less solvers,Puzzles Created with 0 solvers,Small and Easy left,Special Knowledge left,Spores left,Bugs left,Spugs left,Basic Shapes left,Small Switches left,Switched left,Minibits left,Mirrors left,RSOD left,Tricksters left,Puzzlets left,Chain Letters left,Small Shape left,Fun and Easy left,Boost Me left,Structural Representation left
1,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=36921"";""hoglahoo"")",14 Feb 2012,1631535,1631435,1423,100,11396,2153,2802,1058,658,127,464,247,28,0,0,0,0,0,0,0,0,2,0,0,0,1,4,3,16,2,0
2,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=11775"";""starryjess"")",16 Jan 2011,1580706,1574506,1026,6200,9446,1840,739,45,83,1,21,0,0,8,2,0,0,5,0,5,18,9,34,5,20,42,28,23,36,23,2
3,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=2804"";""lroppy"")",12 Jan 2011,1538476,1536176,996,2300,9011,1841,430,10,33,0,9,1,0,17,4,0,0,13,9,3,21,11,44,13,34,40,28,23,32,31,1
4,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=50065"";""Tesla'sDisciple"")",29 Aug 2012,1447327,1446827,1525,500,10125,1724,1705,505,250,229,203,106,4,0,0,0,0,0,0,1,7,9,32,24,9,51,27,4,28,2,6
5,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=24263"";""Brourd"")",31 Mar 2011,1396571,1395771,952,800,7803,1141,1674,601,813,309,382,162,24,0,2,0,9,0,10,0,6,5,8,31,20,23,29,5,32,22,159
6,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=48166"";""jnicol"")",09 Aug 2012,1367223,1361723,1410,5500,9388,1779,831,123,375,36,115,44,5,0,0,0,0,0,0,0,5,8,14,15,30,0,1,7,32,15,0
7,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=42833"";""JR"")",05 Jul 2012,1344753,1342253,1339,2500,8326,2142,630,74,366,309,111,21,2,16,1,0,7,4,10,1,5,10,6,0,27,42,28,22,35,29,0
8,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=8627"";""Eli Fisker"")",14 Jan 2011,1338806,1338106,868,700,6811,1137,247,15,427,97,16,1,0,16,8,0,9,10,10,7,18,14,55,32,37,48,45,27,34,43,157
9,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=48170"";""Jieux"")",10 Aug 2012,1327205,1326205,1371,1000,8193,1252,738,134,224,203,112,48,2,14,1,0,9,17,0,3,29,10,5,0,34,40,32,21,30,26,22
10,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=40516"";""Dennis9600"")",26 Jun 2012,1275701,1273201,1259,2500,8180,690,498,58,114,1,45,7,0,12,2,0,0,11,10,19,30,12,80,50,33,7,28,11,28,14,5
11,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=28979"";""oolong"")",23 Sep 2011,1242069,1238369,962,3700,8125,1438,56,0,0,0,0,0,0,22,8,0,1,15,9,21,37,13,72,49,36,50,29,29,34,44,13
12,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=267"";""mat747"")",07 Nov 2010,1239652,1239652,769,0,5954,190,18,0,70,0,0,0,0,23,11,1,10,16,10,29,84,17,106,50,38,45,33,27,37,50,142
13,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=87216"";""Zanna"")",15 Apr 2013,1210143,1205643,1680,4500,8194,1652,377,68,241,0,116,41,0,21,9,1,10,17,5,16,42,15,73,12,31,46,29,29,37,33,36
14,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=34334"";""choo"")",08 Dec 2011,1204421,1199221,992,5200,8933,1393,588,48,36,36,31,0,0,19,2,0,0,11,10,16,33,12,80,49,31,43,29,24,37,35,0
15,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=26574"";""Meechl"")",22 Jul 2011,1169777,1169777,864,0,6616,989,134,11,81,41,14,2,0,25,4,1,43,17,8,2,25,10,60,43,35,47,35,29,36,50,150
16,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=52361"";""Malcolm"")",21 Sep 2012,1156611,1151711,1249,4900,7687,1462,236,38,964,0,166,30,0,26,9,1,8,17,8,17,49,13,95,50,36,51,29,30,34,53,0
17,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=1623"";""akhyatt"")",11 Jan 2011,1154566,1151666,747,2900,6282,254,11,1,0,0,0,0,0,28,14,2,35,17,10,29,91,16,106,50,37,49,31,32,37,56,57
18,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=61031"";""ViennaUCT"")",19 Nov 2012,1085639,1084039,1252,1600,6436,1696,389,31,17,1,0,0,0,21,10,2,44,17,1,2,29,20,22,9,38,47,38,25,37,39,157
19,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=19442"";""armin"")",30 Jan 2011,1083885,1078985,710,4900,7097,1418,51,2,0,0,0,0,0,29,14,3,19,17,8,24,35,20,81,50,37,49,28,32,37,61,110
20,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=57743"";""wateronthemoon"")",16 Nov 2012,1082129,1079529,1243,2600,5966,726,11,0,83,4,0,0,0,25,11,2,6,16,10,26,51,24,103,49,38,50,33,31,37,51,135
21,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=56579"";""janetmason"")",15 Nov 2012,1076453,1073553,1235,2900,6218,686,10,3,13,0,0,0,0,28,13,3,15,15,10,26,51,19,99,50,38,49,30,31,34,62,127
22,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=57654"";""garydfisher"")",15 Nov 2012,1073019,1069919,1231,3100,6265,963,19,0,10,0,0,0,0,30,14,3,49,17,9,28,42,23,103,49,37,50,31,31,37,57,34
23,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=152013"";""Mayanne"")",01 May 2014,1035349,1032749,3054,2600,7365,1255,88,2,40,1,2,1,0,20,6,0,0,16,9,20,24,15,94,50,37,48,30,29,36,44,64
24,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=42101"";""77Tennifry"")",04 Jul 2012,1021931,1021631,1016,300,7050,1184,55,3,0,0,0,0,0,24,11,0,7,15,9,24,30,12,73,50,36,49,34,30,37,52,135
25,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=43776"";""JSci"")",07 Jul 2012,958875,947375,956,11500,6736,1231,17,0,0,0,0,0,0,30,14,2,69,17,8,22,49,18,88,50,38,51,35,32,37,58,107
26,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=41429"";""DHammond"")",30 Jun 2012,930299,930299,922,0,4835,295,0,0,3,1,0,0,0,30,14,4,29,16,10,27,54,18,104,50,37,50,38,32,37,58,153
27,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=57675"";""Omei"")",15 Nov 2012,897355,897355,1030,0,5067,877,4,0,12,9,0,0,0,29,15,10,70,17,10,23,47,30,86,50,38,50,41,32,37,59,153
